N;Periodi;Inflazione annua;Inflazione mensile;Inflazione Media (Valore parziale);Indice Dal;Indice Al;
165;Settembre-2012  Settembre-2013;0,9%;-0,3%;2,2%;106,5;107,5;
166;Ottobre-2012  Ottobre-2013;0,8%;-0,2%;2,2%;106,5;107,3;
167;Novembre-2012  Novembre-2013;0,7%;-0,3%;2,2%;106,3;107;
168;Dicembre-2012  Dicembre-2013;0,7%;0,2%;2,2%;106,5;107,2;
169;Gennaio-2013  Gennaio-2014;0,7%;0,2%;2,2%;106,7;107,4;
170;Febbraio-2013  Febbraio-2014;0,5%;-0,1%;2,2%;106,8;107,3;
171;Marzo-2013  Marzo-2014;0,4%;0,1%;2,2%;107;107,4;
172;Aprile-2013  Aprile-2014;0,6%;0,2%;2,2%;107;107,6;
173;Maggio-2013  Maggio-2014;0,5%;-0,1%;2,2%;107;107,5;
174;Giugno-2013  Giugno-2014;0,3%;0,1%;2,2%;107,3;107,6;
175;Luglio-2013  Luglio-2014;0,1%;-0,1%;2,2%;107,4;107,5;
176;Agosto-2013  Agosto-2014;-0,1%;0,2%;2,1%;107,8;107,7;
177;Settembre-2013  Settembre-2014;-0,2%;-0,4%;2,1%;107,5;107,3;
178;Ottobre-2013  Ottobre-2014;0,1%;0,1%;2,1%;107,3;107,4;
179;Novembre-2013  Novembre-2014;0,2%;-0,2%;2,1%;107;107,2;
180;Dicembre-2013  Dicembre-2014;0,0%;0,0%;2,1%;107,2;107,2;
181;Gennaio-2014  Gennaio-2015;-0,6%;-0,4%;2,1%;107,4;106,8;
182;Febbraio-2014  Febbraio-2015;-0,1%;0,4%;2,1%;107,3;107,2;
183;Marzo-2014  Marzo-2015;-0,1%;0,1%;2,1%;107,4;107,3;
184;Aprile-2014  Aprile-2015;-0,1%;0,2%;2,1%;107,6;107,5;
185;Maggio-2014  Maggio-2015;0,1%;0,1%;2%;107,5;107,6;
186;Giugno-2014  Giugno-2015;0,2%;0,2%;2%;107,6;107,8;
187;Luglio-2014  Luglio-2015;0,2%;-0,1%;2%;107,5;107,7;
188;Agosto-2014  Agosto-2015;0,2%;0,2%;2%;107,7;107,9;
189;Settembre-2014  Settembre-2015;0,2%;-0,4%;2%;107,3;107,5;
190;Ottobre-2014  Ottobre-2015;0,3%;0,2%;2%;107,4;107,7;
